STATEFIP,YEAR,MONTH,EMPSTAT,UHRSWORKT,AGE,SEX
34,1988,1,34,,73,2
34,1988,1,10,,62,1
34,1988,1,10,,33,1
34,1988,1,31,,33,2
34,1988,1,0,,9,1
34,1988,1,0,,4,2
34,1988,1,10,,41,1
34,1988,1,31,,34,2
34,1988,1,0,,6,1
34,1988,1,0,,3,2
34,1988,1,10,,47,1
34,1988,1,10,,21,1
34,1988,1,10,,43,2
34,1988,1,10,,20,2
34,1988,1,10,,18,2
34,1988,1,10,,66,1
34,1988,1,10,,36,1
34,1988,1,10,,34,2
34,1988,1,0,,8,2
34,1988,1,0,,7,2
34,1988,1,20,,53,2
34,1988,1,10,,21,1
34,1988,1,10,,19,1
34,1988,1,10,,30,2
34,1988,1,20,,19,1
34,1988,1,34,,69,1
34,1988,1,31,,62,2
34,1988,1,34,,65,1
34,1988,1,10,,34,2
34,1988,1,10,,37,1
34,1988,1,33,,14,2
34,1988,1,0,,10,2
34,1988,1,34,,77,1
34,1988,1,10,,44,1
34,1988,1,10,,42,2
34,1988,1,33,,14,2
34,1988,1,0,,10,2
34,1988,1,31,,26,2
34,1988,1,20,,21,1
34,1988,1,34,,79,1
34,1988,1,10,,39,1
34,1988,1,10,,33,2
34,1988,1,0,,2,2
34,1988,1,34,,58,1
34,1988,1,10,,57,2
34,1988,1,10,,19,1
34,1988,1,34,,85,2
34,1988,1,34,,77,1
34,1988,1,10,,71,2
34,1988,1,31,,49,2
34,1988,1,10,,49,1
34,1988,1,10,,27,1
34,1988,1,10,,24,2
34,1988,1,10,,29,2
34,1988,1,10,,22,1
34,1988,1,34,,70,1
34,1988,1,31,,51,2
34,1988,1,10,,22,1
34,1988,1,34,,61,1
34,1988,1,34,,61,2
34,1988,1,10,,49,2
34,1988,1,10,,24,1
34,1988,1,12,,23,2
34,1988,1,34,,82,1
34,1988,1,31,,82,2
34,1988,1,34,,69,1
34,1988,1,32,,42,1
34,1988,1,10,,42,2
34,1988,1,10,,33,1
34,1988,1,10,,32,2
34,1988,1,0,,6,2
34,1988,1,0,,1,1
34,1988,1,10,,64,2
34,1988,1,34,,63,1
34,1988,1,12,,65,2
34,1988,1,10,,36,2
34,1988,1,33,,17,2
34,1988,1,0,,3,2
34,1988,1,20,,34,1
34,1988,1,31,,27,2
34,1988,1,0,,5,1
34,1988,1,0,,0,2
34,1988,1,34,,75,1
34,1988,1,31,,64,2
34,1988,1,34,,77,2
34,1988,1,33,,16,1
34,1988,1,33,,15,1
34,1988,1,33,,14,1
34,1988,1,10,,33,1
34,1988,1,10,,57,2
34,1988,1,31,,60,2
34,1988,1,34,,69,1
34,1988,1,10,,39,2
34,1988,1,10,,22,2
34,1988,1,33,,21,2
34,1988,1,34,,65,1
34,1988,1,34,,65,2
34,1988,1,10,,33,1
34,1988,1,10,,43,2
34,1988,1,10,,20,2
34,1988,1,10,,40,1
34,1988,1,31,,40,2
34,1988,1,10,,20,2
34,1988,1,33,,18,2
34,1988,1,10,,56,2
34,1988,1,10,,56,2
34,1988,1,10,,46,2
